,,,,,,,,,,,,,,,,,,,
Week 1 - June 8-12,,,,,,,Week 2 - June 15-19,,,,,,,Week 3 - June 22-26,,,,,
"8:30 AM PST
11:30 AM EST","BD Monday
Morning Meeting",,CPU BLOCK,,Friday Pipeline Meeting,,"8:30 AM PST
11:30 AM EST","BD Monday
Morning Meeting",,,,Friday Pipeline Meeting,,"8:30 AM PST
11:30 AM EST","BD Monday
Morning Meeting",,,,Friday Pipeline Meeting
"9:00 AM PST
12:00 PM EST","Team Kickoff
Team Icebreakers","Tuesday
Sales Standup","Wednesday
Sales Standup","Thursday
Sales Standup",✈ Travel Day,,"9:00 AM PST
12:00 PM EST","Week 1 Recap
Questions?","Tuesday
Sales Standup","Wednesday
Sales Standup","Thursday
Sales Standup",,,"9:00 AM PST
12:00 PM EST",,"Tuesday
Sales Standup","Wednesday
Sales Standup","Thursday
Sales Standup",
"9:30 AM PST
12:30 PM EST","Tech Setup
Gmail, HS, Dialpad, Deal Manager, Gong","Role Overview
Day/Week/Month
Calendar management","Systems 
(HS, Gong, Flippy, Deal Manager)","Pipeline MGMT
Leads/Deals 
Pipeline Coverage
Sequences etc.",,,"9:30 AM PST
12:30 PM EST","Demo
Overview + Best Practices","Discovery
Overview + Best Practices","Prospecting
Overview + Best Practices","Objection Handling
Framework + Common Objections",,,"9:30 AM PST
12:30 PM EST","Territory Plan
Research
List Building",,,,
"10:00 AM PST
1:00 PM EST",,,,,-,,"10:00 AM PST
1:00 PM EST",,,,,"Expectations - KPIs, Quota, Commission",,"10:00 AM PST
1:00 PM EST",,,,,
"10:30 AM PST
1:30 PM EST","Welcome to Fresha
Company Background & Future",,,,,,"10:30 AM PST
1:30 PM EST",,,,,,,"10:30 AM PST
1:30 PM EST",,,,,
"11:00 AM PST
2:00 PM EST",,"HR Onboarding
(Hibob, expensing, time off etc)","ICP
Personas + Verticals","Competitors
Overview + Angles",-,,"11:00 AM PST
2:00 PM EST","Mock Demo
Megan
","Mock Discovery
Brian",,,,,"11:00 AM PST
2:00 PM EST","BD Monday
Morning Meeting","Tuesday
Sales Standup","Wednesday
Sales Standup","Thursday
Sales Standup","Pipeline Review
All"
"11:30 AM PST
2:30 PM EST",,,,,,,"11:30 AM PST
2:30 PM EST",,,,,,,"11:30 AM PST
2:30 PM EST",,,,,
"12:00 PM PST
3:00 PM EST",Lunch,Lunch,Lunch,Lunch,-,,"12:00 PM PST
3:00 PM EST",Lunch,Lunch,Lunch,Lunch,Lunch,,"12:00 PM PST
3:00 PM EST",Lunch,Lunch,Lunch,Lunch,Lunch
"12:30 PM PST
3:30 PM EST",,,,,,,"12:30 PM PST
3:30 PM EST",,,,,,,"12:30 PM PST
3:30 PM EST",,,,,
"1:00 PM PST
4:00 PM EST","Product Training
Placeholder","Product Training
Placeholder","Product Training
Placeholder","Product Training
Placeholder",-,,"1:00 PM PST
4:00 PM EST","Product Training
Placeholder","Product Training
Placeholder","Product Training
Placeholder","Product Training
Placeholder","Product Training
Placeholder",,"1:00 PM PST
4:00 PM EST","Field Work
Drop Ins",AI Call trainer,,,Team Demo Cert
"1:30 PM PST
4:30 PM EST",,,,,,,"1:30 PM PST
4:30 PM EST",,,,,,,"1:30 PM PST
4:30 PM EST",,,,,
"2:00 PM PST
5:00 PM EST",PT001 - Launch Into Fresha,PT003 - Team & Staff,"PT005 - Booking, Resources & Calendar","PT007 - Payments & Checkout, Team Pay",-,,"2:00 PM PST
5:00 PM EST",CT001 - DIAL Prospecting & Outreach Fundamentals,CT003 - GAP 4Ts Discovering the Gap using the 4T Framework,CT005 — EASE | Handling objections with the EASE framework,CT007 — EARN | Earning the close,CT009 — PIPELINE | Pipeline management & forecasting,,"2:00 PM PST
5:00 PM EST",Meeting Fresha Partners - 5 Partners,,,,
"2:30 PM PST
5:30 PM EST",PT002 - Marketplace & Book Now,PT004 - Services & Pricing,PT006 - Inventory & Products,PT008 - Marketing & Client Engagement,,,"2:30 PM PST
5:30 PM EST",,,,,,,"2:30 PM PST
5:30 PM EST",,,,,
